Country Name,year,percent_gdp,percent_net_exports,percent_consumption,percent_government,percent_investment,component_sum
Dominican Republic,2022,1,-0.2420332885670105,0.7158069972182656,0.07368725186659227,0.21580605513246645,0.7632670156503139
Dominican Republic,2023,1,-0.08584568959168229,0.7279434685130467,0.08925657152395346,0.2215871114851878,0.9529414619305058
Fiji,1991,1,NA,NA,NA,NA,NA
Fiji,1992,1,NA,NA,NA,NA,NA
Fiji,1993,1,NA,NA,NA,NA,NA
Fiji,1994,1,NA,NA,NA,NA,NA
Fiji,1995,1,NA,NA,NA,NA,NA
Fiji,1996,1,NA,NA,NA,NA,NA
Fiji,1997,1,NA,NA,NA,NA,NA
Fiji,1998,1,NA,NA,NA,NA,NA
Fiji,1999,1,NA,NA,NA,NA,NA
Fiji,2000,1,NA,NA,NA,NA,NA
Fiji,2001,1,NA,NA,NA,NA,NA
Fiji,2002,1,NA,NA,NA,NA,NA
Fiji,2003,1,NA,NA,NA,NA,NA
Fiji,2004,1,NA,NA,NA,NA,NA
Fiji,2005,1,NA,NA,NA,NA,NA
Fiji,2006,1,NA,NA,NA,NA,NA
Fiji,2007,1,NA,NA,NA,NA,NA
Fiji,2008,1,NA,NA,NA,NA,NA
