"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Fiscal Year","Series","Currency","SNA System","Base Year","Value","Value Footnotes"
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting and related service activities","01","2015","100","EC dollar","1993","2006","21110000",""
"Antigua and Barbuda","2.2","Industries","Forestry, logging and related service activities","02","2015","100","EC dollar","1993","2006","920000",""
"Antigua and Barbuda","2.2","Industries","Fishing","B","2015","100","EC dollar","1993","2006","22040000",""
"Antigua and Barbuda","2.2","Industries","Mining and quarrying","C","2015","100","EC dollar","1993","2006","26760000",""
"Antigua and Barbuda","2.2","Industries","Manufacturing","D","2015","100","EC dollar","1993","2006","61400000",""
"Antigua and Barbuda","2.2","Industries","Electricity, gas and  water supply","E","2015","100","EC dollar","1993","2006","105880000",""
"Antigua and Barbuda","2.2","Industries","Construction","F","2015","100","EC dollar","1993","2006","244330000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods; hotels and restaurants","G+H","2015","100","EC dollar","1993","2006","754130000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2015","100","EC dollar","1993","2006","371850000",""
"Antigua and Barbuda","2.2","Industries","Hotels and restaurants","H","2015","100","EC dollar","1993","2006","382280000",""
"Antigua and Barbuda","2.2","Industries","Transport, storage and communications","I","2015","100","EC dollar","1993","2006","288100000",""
"Antigua and Barbuda","2.2","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2015","100","EC dollar","1993","2006","171670000",""
"Antigua and Barbuda","2.2","Industries","Post and telecommunications","64","2015","100","EC dollar","1993","2006","116430000",""
"Antigua and Barbuda","2.2","Industries","Financial intermediation, real estate, renting and business activities","J+K","2015","100","EC dollar","1993","2006","615990000",""
"Antigua and Barbuda","2.2","Industries","Financial intermediation","J","2015","100","EC dollar","1993","2006","234120000",""
"Antigua and Barbuda","2.2","Industries","Real estate, renting and business activities","K","2015","100","EC dollar","1993","2006","381870000",""
"Antigua and Barbuda","2.2","Industries","Public administration and defence; compulsory social security","L","2015","100","EC dollar","1993","2006","216200000",""
"Antigua and Barbuda","2.2","Industries","Education; health and social work; other community, social and personal services","M+N+O","2015","100","EC dollar","1993","2006","290210000",""
"Antigua and Barbuda","2.2","Industries","Education","M","2015","100","EC dollar","1993","2006","136270000",""
"Antigua and Barbuda","2.2","Industries","Health and social work","N","2015","100","EC dollar","1993","2006","82340000",""
"Antigua and Barbuda","2.2","Industries","Other community, social and personal services","O","2015","100","EC dollar","1993","2006","71590000",""
"Antigua and Barbuda","2.2","Industries","Private households with employed persons","P","2015","100","EC dollar","1993","2006","10380000",""
"Antigua and Barbuda","2.2","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2015","100","EC dollar","1993","2006","2604070000","1"
